"alpha","beta","mu_s","mu_i","mu_a","sd","beta_2","tau","r0","r1","lM0mu_s","lM0mu_i","lM0mu_a","lM1mu_s","lM1mu_i","lM1mu_a","sd_lM","lMwmu_s","lMwmu_i","lMwmu_a","irphi","p0","p1","sz","rsz","bankfull_s","bankfull_i","bankfull_a","lA0_perpool","AtQ_perpool","alpha0_int","alpha1_int","alpha0_max","alpha1_max","lsl_width_s","lsl_width_i","lsl_width_a","dth"
683.294456547916,8.73875071028957,13.3029669054748,12.547549349919,10.5387535607575,1.25317476772414,2.01695863772009,0.0571805230466296,0.0178262679298263,0.297044264723932,-4.56361579781235,-4.2286054534592,-4.11940047898861,-3.80057344349673,-4.91083156720476,-5.23598979002848,0.359028381593346,-6.63321579652037,-4.79302790679282,-4.57675404562736,0.207312391198856,0.347168994988902,0.617251130753427,0.308857351226976,0.335913105739258,156.510263694593,68.5638669710891,77.9034650781428,0.0486576769637422,-4.29664435537738,61.1967906795768,17.4906724972417,10.1474813896767,29.6395523199925,6.84548578839605,6.54415389229868,6.27544437220503,77.5971923568797
954.790285442903,8.22782851199148,12.8487778132853,12.7965791483058,10.7243792167755,1.5484156830907,1.88396311213155,0.0362331499869413,0.017867087401323,0.161340126861846,-4.87872299122405,-4.07172993917129,-4.59390480051583,-4.21879440658642,-4.89453247984941,-5.14572936862827,0.425234920437882,-6.76138695262852,-5.65729101468873,-4.95343357835847,0.261374480530028,0.303416710953349,0.244149949274838,0.320106477668919,0.360042060669348,157.159340584369,63.3999613730176,80.0653860559221,0.0279107008693904,-2.82179060943315,34.2668570926899,21.1396623549033,15.5798082196352,26.1556024320299,6.81628279841044,6.69155388698598,6.23115334881352,68.4868468060382
759.762434371636,8.1661765279745,12.3049362563003,13.595003653675,9.59403345374371,1.43983532391107,1.89710068985678,0.0150033506387652,0.0287931466380014,0.328686873307162,-5.61540981182082,-4.07942051722362,-4.96776023340693,-3.84941626228715,-4.74039323721407,-4.68193424653161,0.446623609808648,-6.91001597996887,-5.2117888491353,-5.30177189276494,0.135365042415398,0.622498679274235,0.585328075509032,0.315417960107236,0.399651618633235,155.710836339947,62.0107792299354,79.0257014433051,0.0615259955055563,-5.21302224678341,75.6111875659772,21.1927637556046,7.88046159920662,36.0561354003158,6.83143280004196,6.71068571278053,6.2543087714095,71.6798084871734
551.260216953092,8.29078194779591,11.8228838694148,12.1042316218315,9.67236513739791,1.33963406592981,1.90289786869366,0.0777416383492057,0.0400991457809732,0.600359772158419,-5.22904792125944,-4.32129425533672,-4.81605825972248,-3.89079966072794,-4.40276249348334,-4.4374377470488,0.343491192080965,-6.98364244354922,-5.17359754273816,-5.0954761027568,0.0935555138079772,0.567929729641821,0.9865575115655,0.287495935536854,0.363766277458392,156.165713637958,60.4483498197244,79.2992010839161,0.0592026403789405,-4.92130696478137,51.4902000547027,20.0182550223722,10.2045148067425,13.4913847569922,6.83720413459428,6.60036750268417,6.2696313759235,50.3398932788374
832.381051066505,10.0582358924681,11.9549087364263,11.7202975699839,8.71857593473612,1.8964540056556,1.97019580988049,0.0640716705732406,0.040869287439354,0.242593888474391,-5.04647259313667,-4.16019641434213,-5.21240985330996,-4.22346505611901,-5.22478239353815,-4.9434421085036,0.486412484517691,-7.10474340973341,-4.99766560273138,-4.78113886820083,0.126170418550585,0.788509752150594,0.651651063578723,0.308439790188459,0.411598931834689,155.158765100577,65.3360688431538,77.8035405664288,0.0467364838569612,-4.19434630710271,60.7237227332666,17.9396067776254,6.52303286656915,19.3868038118645,6.83768451515112,6.45505052878047,6.29335118531062,54.8970377735214
762.159011523333,8.06649164697044,12.3385040120663,11.5241983565979,9.59400413017814,1.46909909207306,2.05999096192261,0.0447765458569338,0.0538138496045895,0.269512873255144,-4.91880559120355,-4.29188059475576,-5.11997305077035,-4.19654418165005,-4.81930057890151,-4.69682761419911,0.440558500469194,-6.91836780904255,-5.78929362347029,-4.84421832617009,0.183591250199064,0.562234569627135,0.429735616101353,0.326266456684199,0.347423024535028,155.238100097371,67.1828457859053,82.1053071656869,0.045043146651396,-4.03257931815685,57.849321191984,19.8449049567931,10.7874682640147,29.1438289295237,6.83732353895354,6.52353695476731,6.22263166589758,44.9212115124889
836.759388072604,9.67490088073884,12.4199639557068,12.6437324652517,10.3112761750498,1.67112901570378,1.9502232818619,0.0647237605038894,0.047940143049026,0.430601682191596,-4.98695115922073,-3.97843834825382,-4.18100121541688,-4.00563815533275,-4.97339187856522,-5.18236831564074,0.344241952283733,-7.09298136493751,-5.05249895758404,-4.87633788103514,0.124178921217022,0.527335106597171,0.743951545347631,0.298844136359471,0.358681477059689,157.173760102231,64.7267685637068,80.3225825234633,0.0399798832984173,-3.33969593519711,58.5467966914911,18.7034744378646,10.1863378464915,26.9178838345939,6.83860233068038,6.58656402077035,6.23043131760225,41.893837222998
837.402997686032,8.45871368195288,12.0768066622325,12.9207975841357,9.59980666123766,1.44660432645445,2.11712453913173,0.0638784555715588,0.0336190225587426,0.530058710681325,-5.34446027508544,-4.24179273912226,-4.98110560861436,-4.24292575086361,-4.86418417169605,-4.67689876369996,0.440207091232772,-5.48652935275485,-4.78401197467879,-4.48626317737304,0.20472007238119,0.408037266861236,0.904721600079337,0.31400839305709,0.438234310021033,156.480712486971,61.0907923329738,79.7107195426228,0.0369775562821343,-3.00357357465721,68.1967834641899,21.1990631576822,10.8548968282813,25.590839212203,6.86000521497081,6.69671368995946,6.243957153462,70.2987629786663
621.436362220923,9.37527958131833,12.1025123379252,11.7885787768295,10.4107147838525,1.57371780265295,2.02750873808658,0.0756657378808438,0.0394392664682305,0.337891029539505,-5.32896812662532,-4.09752325152514,-4.61501961573782,-3.85434947658748,-5.01434583755169,-4.9366134147556,0.428835167906809,-6.94332211905246,-5.35608360349192,-4.64979124977648,0.14858085755618,0.556944122991032,0.604943962328318,0.293695394337509,0.381803772054642,157.47367756554,63.023673639189,79.3090236411056,0.0528002535973524,-4.11164972486294,41.3991620537681,18.8426963329529,10.1428827811864,38.8249810459487,6.82610566796276,6.57971035479378,6.26280335362769,41.9162031060826
757.161982695305,10.6169980754308,13.5649422553365,12.8233440458216,9.83836701752132,1.67742650289901,1.87111025715418,0.0610370396228375,0.0406564916714659,0.300120628358911,-4.93421105557943,-4.1816161909339,-4.7186051433469,-4.12023573563171,-4.83366103407614,-4.58645570614654,0.546683502576336,-7.14289289968186,-5.61877515658121,-5.18445079143075,0.154624172663052,0.556159085730207,0.471000044368525,0.289962382533773,0.380313575721247,155.510139744682,65.7880870493229,79.0604890183942,0.0325250551201294,-2.37273275824088,32.9993163898126,15.2402397202003,9.59916282556937,34.1394885426774,6.84053539226921,6.70160792175383,6.24797287922216,85.0065102401847
745.499718125357,8.60183424028477,12.0818368961912,12.427404670872,9.14439649661348,1.88306738330902,2.06074415868191,0.0638742160337932,0.0273780011140001,0.345222807274466,-5.80302107573785,-3.83050990878587,-4.47412657271342,-3.98100840970354,-4.50047564938325,-4.65226013011052,0.342309888490467,-6.29726302546085,-6.31277424240407,-5.19638299716677,0.191004252540046,0.499287348331288,0.396198051156901,0.288278635668733,0.3880299803386,156.70037206043,64.3768158065791,79.3320188381478,0.0371618244980485,-3.24468219429139,64.6362285954752,25.9127442303929,8.95664551907614,39.9345365253834,6.84212881068527,6.71278228871221,6.24348477679537,48.3368078572989
839.455159000357,8.71299288596946,11.8885810020039,12.8446227664769,10.2888251075507,1.6530233598943,2.02816318304549,0.0371730447803425,0.0282985779156854,0.276677897516995,-4.92249827984377,-4.04969211717998,-4.50389575993274,-4.32354098870885,-4.82514611042119,-4.7765093385829,0.303662668851239,-6.94285901137692,-5.11793229647151,-5.17719076156157,0.177082695039494,0.551423083367928,0.42579887123702,0.307951098384921,0.376524131928198,153.466159572437,62.0334252286904,81.2513860841241,0.0340232010381658,-2.4152551218943,46.3045357194311,19.7745425330442,8.85413527670325,36.0351919710691,6.85846676997326,6.71313056999089,6.24176105066479,69.0631662602836
759.631861857275,9.97731310731211,12.9607028328747,13.0898247032982,11.4699407672393,1.50918229180004,1.88271067013486,0.0851763581221898,0.0246168281334103,0.273898410355205,-4.69227095859905,-3.97252201395792,-4.25268585630697,-4.13278596254715,-4.65900468471352,-4.71367383608891,0.467523132235069,-7.57288935637672,-5.67355320685871,-5.80932878183378,0.158059282584816,0.387147777919223,0.395813432121652,0.310140327264839,0.397822640429524,157.850734199121,60.4324057848415,79.56958057568,0.0341998385200998,-3.10329163460794,39.8075627040958,17.984803815093,10.1587857916068,31.8107272238073,6.82851132471279,6.79656805684325,6.29161289533446,63.569505651667
734.606785077309,9.78326049763984,12.3979046493233,12.3685056792579,8.72735648769843,1.23831451068424,2.08812181558199,0.0785213790625755,0.0404080462501947,0.336385270498519,-5.04852910176343,-4.28340220810147,-4.52670477395893,-4.18913296061006,-4.79039713440137,-4.85361470297265,0.459197838539532,-6.6425212319672,-5.47621914695487,-4.7786484059978,0.097388250202857,0.76141814115587,0.729009674537264,0.295239383673747,0.39333438865423,157.8469145557,59.6536060463232,78.0152059145455,0.0339486373797141,-2.52521256155313,76.0894681299236,27.398848205141,8.26122610394905,27.9055156709594,6.8237233817351,6.71411008397925,6.30685020718676,83.9537981542434
654.573160552633,9.02467616615429,11.9343717319827,13.4732324650569,10.664519961509,1.44628179518474,2.1182045603531,0.0938751842849126,0.026065371707795,0.421994326347611,-5.09156098863108,-4.10513430085996,-4.19263580554811,-4.06318291440765,-4.93118883336401,-4.5732722248896,0.489099423857246,-6.21805487535995,-5.22112542530296,-5.7164760076775,0.159966841441052,0.452366960433566,0.558104965332854,0.296314315222289,0.401316777653855,157.022917929674,61.8036597889061,80.3195792265851,0.0370677326268908,-2.97931050490564,37.9716785797626,23.779225181857,18.9244745628416,23.501417910944,6.82499082182598,6.81473045490641,6.26662651448029,45.9642743906479
779.490440507255,10.7184341360156,12.9104231151935,12.096297150375,8.88968059286597,1.68126238830421,2.11681462556371,0.0472104369548032,0.0288855503076667,0.387348996383508,-5.02149601194059,-3.96057879757213,-4.86676392511664,-3.89070906065188,-4.76620870221181,-5.05025158115314,0.418153634889239,-7.40313324936168,-4.98541999895863,-4.6737559144977,0.112999885419952,0.667953992811574,0.738358883631744,0.324679973291367,0.35229619386524,158.679794213751,61.5022263993723,78.5189335925805,0.0429773941021348,-2.88611636172491,47.2012141598229,21.5817813333697,14.4378039873716,28.5435392786241,6.8463222440961,6.72854237214464,6.28516761789299,54.5317066516634
793.876879855753,8.10668618012681,13.3089985462046,13.0479398645407,10.608497567131,1.56590860062768,2.06633202004148,0.0450288172438957,0.017378840946013,0.173338583232573,-4.62484301279062,-3.96002712143813,-4.53433903278181,-4.24391249175483,-4.60087278811724,-4.74906313514283,0.371201073691788,-7.36836655338614,-5.36924793740653,-4.91722123110597,0.194320007788586,0.363520420694848,0.353968904229016,0.310883865362529,0.36993880408758,159.287076875971,65.784128834146,78.1116156743437,0.0405885091001933,-3.45134084985335,34.3273819792675,18.0494167756473,11.1565579126559,32.5863758687667,6.82198670345398,6.62119609678366,6.29268370951584,86.5596233025296
535.341348899268,7.92771721653358,12.8020252356269,12.6662979146751,11.4033581089166,1.55161947724007,1.96895246797675,0.0758822822786832,0.0345225539733176,0.312533468345168,-4.66405306848831,-4.0978069570386,-4.29546759537802,-4.16478693161409,-4.28585040452765,-5.18677162213496,0.459512864799638,-6.85177837901325,-5.86356911350162,-4.73664431102266,0.165147806602158,0.368869770045429,0.516697374465638,0.316286628372212,0.371014930114904,158.036627940194,63.0886616565769,78.9652314279911,0.0381312043365843,-3.43853122290756,61.4778491681846,23.2308243779901,11.6780753891829,21.2763767507675,6.82915404439592,6.77576904937461,6.26511895744006,27.3721531282186
